id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!In households:,Margin of Error!!Total:!!In households:,Estimate!!Total:!!In households:!!Householder:,Margin of Error!!Total:!!In households:!!Householder:,Estimate!!Total:!!In households:!!Householder:!!Male:,Margin of Error!!Total:!!In households:!!Householder:!!Male:,Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone,Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone,Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone,Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone,Estimate!!Total:!!In households:!!Householder:!!Female:,Margin of Error!!Total:!!In households:!!Householder:!!Female:,Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone,Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone,Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone,Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone,Estimate!!Total:!!In households:!!Opposite-sex spouse,Margin of Error!!Total:!!In households:!!Opposite-sex spouse,Estimate!!Total:!!In households:!!Same-sex spouse,Margin of Error!!Total:!!In households:!!Same-sex spouse,Estimate!!Total:!!In households:!!Opposite-sex unmarried partner,Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner,Estimate!!Total:!!In households:!!Same-sex unmarried partner,Margin of Error!!Total:!!In households:!!Same-sex unmarried partner,Estimate!!Total:!!In households:!!Child:,Margin of Error!!Total:!!In households:!!Child:,Estimate!!Total:!!In households:!!Child:!!Biological child,Margin of Error!!Total:!!In households:!!Child:!!Biological child,Estimate!!Total:!!In households:!!Child:!!Adopted child,Margin of Error!!Total:!!In households:!!Child:!!Adopted child,Estimate!!Total:!!In households:!!Child:!!Stepchild,Margin of Error!!Total:!!In households:!!Child:!!Stepchild,Estimate!!Total:!!In households:!!Grandchild,Margin of Error!!Total:!!In households:!!Grandchild,Estimate!!Total:!!In households:!!Brother or sister,Margin of Error!!Total:!!In households:!!Brother or sister,Estimate!!Total:!!In households:!!Parent,Margin of Error!!Total:!!In households:!!Parent,Estimate!!Total:!!In households:!!Parent-in-law,Margin of Error!!Total:!!In households:!!Parent-in-law,Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law,Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law,Estimate!!Total:!!In households:!!Other relatives,Margin of Error!!Total:!!In households:!!Other relatives,Estimate!!Total:!!In households:!!Foster child,Margin of Error!!Total:!!In households:!!Foster child,Estimate!!Total:!!In households:!!Other nonrelatives,Margin of Error!!Total:!!In households:!!Other nonrelatives,Estimate!!Total:!!In group quarters,Margin of Error!!Total:!!In group quarters
0400000US44,Rhode Island,1059361,*****,1018460,*****,407174,4739,194592,5506,53710,3245,140882,5161,212582,4789,72609,3693,139973,5795,178569,4891,1094,457,29019,3001,1562,525,307071,7438,290605,7383,7451,1748,9015,2165,19032,3273,11551,3310,11559,2327,2703,1219,3725,1194,11446,2772,411,424,33544,4192,40901,*****
0400000US45,South Carolina,5148714,*****,5014986,*****,1975915,11292,960025,11635,251823,7834,708202,12642,1015890,10579,320934,8830,694956,11754,923811,14446,5541,1328,104825,5913,7456,1514,1439157,18194,1334641,18627,47415,5548,57101,4960,173099,10552,56635,5545,52677,5279,13938,2827,19271,2708,66945,6508,5183,2012,170533,10699,133728,*****
0400000US46,South Dakota,884659,*****,850641,*****,353799,3905,179853,5808,51413,3358,128440,5303,173946,4880,54488,3715,119458,4153,175950,5140,780,351,24073,2760,648,422,234251,6508,217291,6511,6509,1981,10451,2090,18827,2903,6837,1534,4142,1437,937,517,2751,1054,5429,1377,1201,676,21016,3488,34018,*****
0400000US47,Tennessee,6829174,*****,6671097,*****,2654737,12964,1311038,14705,337765,9178,973273,15654,1343699,13644,425200,9549,918499,13110,1264328,16328,10660,1811,149087,7587,9079,1554,1879658,18429,1727364,20345,56068,5022,96226,6892,198710,9941,56274,5805,74909,6689,16510,1964,29278,3562,95987,9196,7624,1656,224256,12260,158077,*****
0400000US48,Texas,28995881,*****,28395188,*****,9985126,25440,5102464,28870,1202293,17989,3900171,31931,4882662,27044,1357209,22767,3525453,28213,4912135,29814,41689,4412,529715,16296,35298,3433,9383482,39819,8743354,43714,199007,12502,441121,17563,890294,27075,461052,21056,452149,17052,118120,7851,176274,8454,457571,20657,22687,5241,929596,29595,600693,*****
0400000US49,Utah,3205958,*****,3157594,*****,1023855,5773,550792,8654,88694,4195,462098,8420,473063,8404,107499,4525,365564,8910,613875,8714,5940,1481,47974,3879,2506,765,1130766,11304,1053358,11877,33047,4831,44361,4674,64171,5432,37883,4342,30348,3861,10187,2427,21130,2320,37211,4685,1139,679,130609,9429,48364,*****
0400000US50,Vermont,623989,*****,598288,*****,262767,3459,126625,3242,38748,2149,87877,3068,136142,2954,44393,2557,91749,3329,119931,3949,1409,470,21225,2262,1128,440,146024,4343,135233,4414,4259,1116,6532,1207,8320,1608,4451,1304,2601,905,539,289,1796,658,5606,2425,745,466,21746,2527,25701,*****
0400000US51,Virginia,8535519,*****,8290622,*****,3191847,12998,1613524,13438,374430,8515,1239094,14822,1578323,12485,510000,9397,1068323,12415,1578293,15837,13142,1776,167627,8474,7683,1651,2403124,18517,2236834,20309,57557,5218,108733,7577,200721,10440,92982,6224,104543,7237,28667,3023,31396,3187,124094,8243,6228,2013,340275,15483,244897,*****
0400000US53,Washington,7614893,*****,7467073,*****,2932477,11062,1537558,13598,364341,9780,1173217,15257,1394919,12998,416638,9692,978281,13577,1426580,13331,20531,2375,233872,8077,10748,1879,2049349,14895,1905183,16111,54015,5584,90151,5995,136327,7931,75358,5692,82217,5379,24980,2949,35927,4016,88283,7967,8137,2163,342287,14252,147820,*****
0400000US54,West Virginia,1792147,*****,1745237,*****,728175,7273,366744,7459,98145,5462,268599,8066,361431,7031,117659,5560,243772,6899,351178,8051,1344,680,45234,3578,1922,711,445104,9189,402058,8963,16715,2660,26331,3442,56591,5253,14438,2432,13862,2753,4272,1462,6526,1548,15934,2925,2875,1314,57782,6819,46910,*****
0400000US55,Wisconsin,5822434,*****,5678585,*****,2386623,7340,1212969,9087,341490,7406,871479,9537,1173654,9036,386178,7279,787476,10276,1130186,11247,7269,1177,175987,6101,7194,1256,1566407,12269,1466983,14393,34606,3489,64818,4804,79355,4904,44025,3697,37733,3482,9032,1493,10050,1669,36097,4309,4223,1295,184404,9729,143849,*****
0400000US56,Wyoming,578759,*****,564519,*****,233128,3322,122045,3874,32174,2328,89871,4038,111083,3660,31765,2341,79318,3663,123474,3685,427,435,15712,2452,610,507,151992,5157,138487,5453,4699,1619,8806,2210,9750,2084,3101,1188,2113,838,530,357,1953,692,4224,1684,535,574,16970,3406,14240,*****
0400000US72,Puerto Rico,3193694,*****,3158324,*****,1170982,9101,525142,7643,147428,5900,377714,7618,645840,8763,196214,6609,449626,9010,427234,9580,1483,627,110143,5328,5175,1266,1090314,15443,1037137,15567,15045,3303,38132,3585,126462,9159,59736,5686,55188,5179,9802,2278,25741,3576,43339,5694,1420,704,31305,5065,35370,*****
